1000111,99,1515015721,10,
1000111,99,1517694121,10,
1000111,99,1522446121,10,
1000111,99,1524519721,10,
1000111,99,1526247721,10,
1000111,99,1528148521,10,
1000111,99,1531518121,10,
1000111,99,1534196521,10,
1000111,99,1536097321,10,
1000111,99,1538689321,10,
1000222,99,1516484521,10,
1000222,99,1517953321,10,
1000222,99,1522446121,10,
1000222,99,1524519721,10,
1000222,99,1526247721,10,
1000222,99,1528148521,10,
1000222,99,1531518121,10,
1000222,99,1534196521,10,
1000222,99,1536097321,10,
1000222,99,1538689321,10,
1000333,99,1516484521,10,
1000333,99,1517780521,10,
1000333,99,1522446121,10,
1000333,99,1523655721,10,
1000333,99,1526247721,10,
1000333,99,1528148521,10,
1000333,99,1531518121,10,
1000333,99,1534196521,10,
1000333,99,1536097321,10,
1000333,99,1538689321,10,
